sentence1	sentence2	gold_label
Two older men are sitting outside under a blue and red umbrella while chatting about the day.	Two men are working on a broken umbrella.	contradiction
Many different people are shopping at an indoor market.	A man is walking his dog.	contradiction
A man with a yellow hat on is leaning on a wall of some sort.	a monkey is eating a banana alone	contradiction
A woman in a white swim cap teaches a toddler how to swim in a swimming pool.	A woman is in a lake with her son.	contradiction
Two women in a street in India, the one pouring something into the other's cup.	The men are drinking water.	contradiction
Homely looking cheerleaders are performing.	Cheerleaders sit and wait during a game.	contradiction
A child in all pink is posing nearby a stroller with buildings in the distance.	A child is sleeping indoors.	contradiction
A man in a black jacket and pants stands in a strange green structure with his arms out.	A man in a black jacket stands with his arms crossed.	contradiction
A child is sitting in a green tote bag with only its eyes and hair poking out.	The child is in a yellow bag.	contradiction
Six young adults smiling in a group.	The adults are screaming at the crowd in anger.	contradiction
three police officers on one black horse, and two brown horses.	Police officers are chasing some horses.	contradiction
A man and a woman standing on a street corner.	two people talking in a building	contradiction
A person is hanging in the air from the power lines.	A person is doing pushups.	contradiction
A middle-aged woman shows off a collection of stuffed shark toys.	A woman is giving away candy.	contradiction
Dogs run at a dog racetrack.	Dogs are sleeping in a room.	contradiction
The small dogs play in the snow.	The dogs are running through a field.	contradiction
A person on a red bike.	the person is on a spaceship	contradiction
A guy in a black shirt and tan pants leaning a little out of a large window looking at something.	cat chases other cats	contradiction
A boy on a bike does a stunt on a ramp filled with graffiti.	A boy is skateboarding	contradiction
A man walking on a dirt road.	The man is sitting in the grass.	contradiction
A race car sparks.	A motorcycle is acting up.	contradiction
A man wearing an identical light blue sweater to the man sitting next to him is using a cellular phone.	The men are wearing different sweaters.	contradiction
Two baby are bathing and enjoying.	Two crying babies in a bath.	contradiction
A man holds a baby while they smile at each other.	The women and baby are frowning at each other.	contradiction
A man walks a group of Dalmatians on the beach.	Golden retrievers running down the beach	contradiction
The men are getting ready for the rodeo.	The men are getting ready for the African safari.	contradiction
This person is laying on the floor at the bottom of the stairs and is missing a shoe.	The person on the floor is wearing both shoes.	contradiction
A woman with shoulder-length brown hair is straddling a ledge.	The woman has blonde hair.	contradiction
Young skateboarder doing a trick in the park.	guy sits on bus	contradiction
Soccer ball kicked by one player with another player watching.	Football kicked by a player.	contradiction
There are football players in red running drills near the end zone.	The coach doesn't let players practice much.	contradiction
A girl, with a big blue scarf has stepped off her bike to receive a text.	A boy, with a big blue scarf has stepped off his bike to receive a text.	contradiction
Woman cupping water with hands over bathroom sink as child stands beside her.	A child reaches for an apple.	contradiction
A little girl holding a camera.	The girl has a balloon.	contradiction
A man pours a clear solution into a small, clear, tank.	A man dumping out a filled tank.	contradiction
A woman, with clenched teeth, is holding her fork like she is going to stab the man sitting at her table with her.	A woman is asleep.	contradiction
A hiker is pointing towards the mountains.	The person is sleeping in bed.	contradiction
A mother kisses her littler girl.	The man kissed the little girl.	contradiction
A boy in a dirty shirt is walking through knee-high ocean water.	A girl is swimming in the ocean.	contradiction
One woman with red-hair and sunglasses serving a beer from the tap.	The woman has black hair and is eating a hot dog.	contradiction
A group of clarinet players practicing.	a group of flute players	contradiction
A girl kisses her mother goodbye before she waits with the other children to start school.	The kid kisses her mother at home.	contradiction
A man holds an upset-looking baby in front of a house.	A man throws his child in the air.	contradiction
A baseball player is running through the baseball field.	A baseball player sits in the dugout.	contradiction
Two individuals on a beach jumping up with their arms and legs spread wide open.	Two individuals are on a couch.	contradiction
